Date,Departure,Destination,Airline,Price,Departure Time,Arrival Time,Stops,Duration,Flight Type
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,2758,12:40,19:00+1,2 stops,37h 20m,Basic Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Etihad Airways,3033,13:40,15:50+1,1 stop,33h 10m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,3070,09:55,08:15+1,1 stop,29h 20m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,3070,11:50,13:55+1,1 stop,33h 05m,Refundable Main
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,3070,09:55,13:55+1,1 stop,35h 00m,Refundable Premium
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,3446,18:25,13:55+1,1 stop,26h 30m,Basic Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,3446,18:25,19:00+1,1 stop,31h 35m,Economy (partially refundable)
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,3483,18:25,19:00+1,2 stops,31h 35m,Basic Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Turkish Airlines,3818,21:25,18:10+1,1 stop,27h 45m,Economy Basic Plus
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Turkish Airlines,3859,21:00,11:20+1,1 stop,21h 20m,Economy (partially refundable)
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Turkish Airlines,3859,05:05,22:00,1 stop,23h 55m,Economy Basic Plus
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Turkish Airlines,3859,01:00,18:10,1 stop,24h 10m,Light
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Turkish Airlines,3859,17:55,11:20+1,1 stop,24h 25m,Economy (partially refundable)
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,SWISS,3859,18:20,13:05+1,1 stop,25h 45m,Basic Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Turkish Airlines,3859,15:20,11:20+1,1 stop,27h 00m,Economy Light
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Turkish Airlines,3859,01:00,22:00,1 stop,28h 00m,Economy Basic
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Turkish Airlines,3859,21:00,18:10+1,1 stop,28h 10m,Economy Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Turkish Airlines,3859,12:20,11:20+1,1 stop,30h 00m,Economy Basic
